Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Apr 6",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Fri, Apr 6",1:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-20.0B,-5.5B,
"Fri, Apr 6",All Day,GBP,Non-Economic,Bank Holiday,,,
"Fri, Apr 6",All Day,CAD,Non-Economic,Bank Holiday,,,
"Fri, Apr 6",7:30pm,USD,High Impact Expected,Non-Farm Employment Change,180K,135K,113K
"Fri, Apr 6",7:30pm,USD,High Impact Expected,Unemployment Rate,4.4%,4.6%,4.5%
"Fri, Apr 6",7:30pm,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.4%
"Fri, Apr 6",9:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.5%,0.4%,0.6%
"Sat, Apr 7",2:00am,USD,Low Impact Expected,Consumer Credit m/m,3.0B,5.5B,6.6B
"Mon, Apr 9",All Day,NZD,Non-Economic,Bank Holiday,,,
"Mon, Apr 9",All Day,AUD,Non-Economic,Bank Holiday,,,
"Mon, Apr 9",12:00pm,JPY,Low Impact Expected,Economy Watchers Sentiment,50.8,52.0,49.2
"Mon, Apr 9",All Day,CHF,Non-Economic,Bank Holiday,,,
"Mon, Apr 9",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Mon, Apr 9",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Mon, Apr 9",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Mon, Apr 9",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, Apr 9",7:30pm,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Tue, Apr 10",5:00am,NZD,High Impact Expected,NZIER Business Confidence,-15,3,
"Tue, Apr 10",6:30am,AUD,Low Impact Expected,AIG Construction Index,51.1,51.7,
"Tue, Apr 10",8:30am,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,1.9%,3.4%,
"Tue, Apr 10",8:30am,AUD,Low Impact Expected,NAB Business Confidence,10,12,
"Tue, Apr 10",10:23am,JPY,Medium Impact Expected,Overnight Call Rate,0.50%,0.50%,0.50%
"Tue, Apr 10",12:00pm,CNY,High Impact Expected,USD-Denominated Trade Balance,6.9B,20.0B,23.8B
"Tue, Apr 10",12:45pm,CHF,Low Impact Expected,Unemployment Rate,2.9%,2.9%,3.0%
"Tue, Apr 10",1:00pm,EUR,Low Impact Expected,German Trade Balance,13.8B,15.4B,15.8B
"Tue, Apr 10",1:00pm,JPY,Low Impact Expected,BOJ Monthly Report,,,
"Tue, Apr 10",1:00pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,9.5%,16.5%,
"Tue, Apr 10",1:45pm,EUR,Medium Impact Expected,French Industrial Production m/m,1.1%,0.5%,-0.2%
"Tue, Apr 10",1:57pm,JPY,High Impact Expected,BOJ Press Conference,,,
"Tue, Apr 10",3:30pm,EUR,Low Impact Expected,Sentix Investor Confidence,34.7,31.6,27.5
"Tue, Apr 10",8:30pm,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Tue, Apr 10",9:00pm,USD,Low Impact Expected,JOLTS Job Openings,4.07M,4.22M,
"Tue, Apr 10",9:00pm,USD,Low Impact Expected,RCM/TIPP Economic Optimism,45.5,50.0,50.8
"Wed, Apr 11", ,,,,,,
"Thu, Apr 12", ,,,,,,
"Fri, Apr 13", ,,,,,,
"Sat, Apr 14", ,,,,,,
"Sun, Apr 15", ,,,,,,
"Mon, Apr 16", ,,,,,,
"Tue, Apr 17", ,,,,,,
"Wed, Apr 18", ,,,,,,
"Thu, Apr 19", ,,,,,,
"Fri, Apr 20", ,,,,,,
"Sun, Apr 22", ,,,,,,
"Mon, Apr 23", ,,,,,,
"Tue, Apr 24", ,,,,,,
"Wed, Apr 25", ,,,,,,
"Thu, Apr 26", ,,,,,,
"Fri, Apr 27", ,,,,,,
"Mon, Apr 30", ,,,,,,
